
> Task :compileJava

> Task :processResources NO-SOURCE
> Task :classes

> Task :run
algorithmName,arraySize,arrayType,shufflePercentage,isInverted,timeTaken
assignment1.BubbleSortPassPerItem@14dad5dc,73656,Integer,75,false,34331680588
assignment1.BubbleSortUntilNoChange@330bedb4,73656,Integer,75,false,37596049524
assignment1.BubbleSortWhileNeeded@2503dbd3,73656,Integer,75,false,23777061904
assignment1.BubbleSortPassPerItem@14dad5dc,96645,Integer,100,true,51660336308
assignment1.BubbleSortUntilNoChange@330bedb4,96645,Integer,100,true,54448913840
assignment1.BubbleSortWhileNeeded@2503dbd3,96645,Integer,100,true,33169151438
assignment1.BubbleSortPassPerItem@14dad5dc,96645,Integer,25,false,53679517068
assignment1.BubbleSortUntilNoChange@330bedb4,96645,Integer,25,false,58317910591
assignment1.BubbleSortWhileNeeded@2503dbd3,96645,Integer,25,false,35732562779
assignment1.BubbleSortPassPerItem@14dad5dc,96645,Integer,50,false,56467016756
assignment1.BubbleSortUntilNoChange@330bedb4,96645,Integer,50,false,61180905126
assignment1.BubbleSortWhileNeeded@2503dbd3,96645,Integer,50,false,37769661206
assignment1.BubbleSortPassPerItem@14dad5dc,96645,Integer,75,false,60105387952
assignment1.BubbleSortUntilNoChange@330bedb4,96645,Integer,75,false,65685081955
assignment1.BubbleSortWhileNeeded@2503dbd3,96645,Integer,75,false,41935758238
assignment1.BubbleSortPassPerItem@14dad5dc,67184,Integer,100,true,24883072372
assignment1.BubbleSortUntilNoChange@330bedb4,67184,Integer,100,true,26115887419
assignment1.BubbleSortWhileNeeded@2503dbd3,67184,Integer,100,true,15816196643
assignment1.BubbleSortPassPerItem@14dad5dc,67184,Integer,25,false,25795798094
assignment1.BubbleSortUntilNoChange@330bedb4,67184,Integer,25,false,27927994757
assignment1.BubbleSortWhileNeeded@2503dbd3,67184,Integer,25,false,16809672828
assignment1.BubbleSortPassPerItem@14dad5dc,67184,Integer,50,false,26857635389
